image_idx,image_id,image_name,image_short,image_width,image_height,objects_count,own_score,competitor_score,other_ad_score,total_ad_score,telecom_score,telecom_share,visual_share
1,0,Screenshot_1.png,f_001,2471.0,966.0,4,0.000853966210482567,0.0,0.006533101254634317,0.007387067465116883,0.000853966210482567,1.0,0.11560287143919498
2,1,Screenshot_10.png,f_002,2440.0,980.0,3,0.0027262277170462795,0.0006647473882628831,0.0,0.0033909751053091625,0.0033909751053091625,0.8039657126287642,0.8039657126287642
3,2,Screenshot_11.png,f_003,2420.0,978.0,1,0.001979841372057507,0.0,0.0,0.001979841372057507,0.001979841372057507,1.0,1.0
4,3,Screenshot_12.png,f_004,2439.0,981.0,0,0.0,0.0,0.0,0.0,0.0,,
5,4,Screenshot_13.png,f_005,2420.0,964.0,0,0.0,0.0,0.0,0.0,0.0,,
6,5,Screenshot_14.png,f_006,2405.0,983.0,1,0.0,0.0,0.000359438393137042,0.000359438393137042,0.0,,0.0
7,6,Screenshot_15.png,f_007,2402.0,969.0,1,0.0,0.0,0.0020001281674098367,0.0020001281674098367,0.0,,0.0
8,7,Screenshot_16.png,f_008,2402.0,964.0,0,0.0,0.0,0.0,0.0,0.0,,
9,8,Screenshot_17.png,f_009,2424.0,984.0,2,0.0,0.004436547553544168,0.0,0.004436547553544168,0.004436547553544168,0.0,0.0
10,9,Screenshot_18.png,f_010,2411.0,981.0,1,0.0,0.0012217349000122402,0.0,0.0012217349000122402,0.0012217349000122402,0.0,0.0
11,10,Screenshot_19.png,f_011,2402.0,971.0,0,0.0,0.0,0.0,0.0,0.0,,
12,11,Screenshot_2.png,f_012,2442.0,984.0,2,0.001289144631595102,0.0,0.0,0.001289144631595102,0.001289144631595102,1.0,1.0
13,12,Screenshot_20.png,f_013,2395.0,953.0,2,0.0,0.0,0.00048320689542310477,0.00048320689542310477,0.0,,0.0
14,13,Screenshot_21.png,f_014,2442.0,971.0,5,0.0005465923452128029,0.0,0.005687366513507726,0.006233958858720529,0.0005465923452128029,1.0,0.08767981271615044
