image_idx,image_id,image_name,image_short,image_width,image_height,objects_count,own_score,competitor_score,other_ad_score,total_ad_score,telecom_score,telecom_share,visual_share
52,51,Screenshot_56.png,f_052,2388.0,929.0,1,0.0,0.00525092618493126,0.0,0.00525092618493126,0.00525092618493126,0.0,0.0
9,8,Screenshot_17.png,f_009,2424.0,984.0,2,0.0,0.004436547553544168,0.0,0.004436547553544168,0.004436547553544168,0.0,0.0
37,36,Screenshot_42.png,f_037,2391.0,972.0,1,0.0,0.002090791050833783,0.0,0.002090791050833783,0.002090791050833783,0.0,0.0
45,44,Screenshot_5.png,f_045,2449.0,984.0,2,0.0,0.001974234931717614,0.0007431451031753918,0.002717380034893006,0.001974234931717614,0.0,0.0
50,49,Screenshot_54.png,f_050,2361.0,967.0,6,0.0009054521126132249,0.0018737855470276083,0.0029238524449864862,0.00570309010462732,0.002779237659640833,0.32579153836388297,0.1587651774743253
35,34,Screenshot_40.png,f_035,2363.0,973.0,3,0.0,0.0018485396860974405,0.014727546574435181,0.01657608626053262,0.0018485396860974405,0.0,0.0
51,50,Screenshot_55.png,f_051,2362.0,974.0,1,0.0,0.0017605058362706128,0.0,0.0017605058362706128,0.0017605058362706128,0.0,0.0
33,32,Screenshot_39.png,f_033,2385.0,921.0,4,0.0,0.0015894040017179899,0.0024522092252985657,0.004041613227016556,0.0015894040017179899,0.0,0.0
10,9,Screenshot_18.png,f_010,2411.0,981.0,1,0.0,0.0012217349000122402,0.0,0.0012217349000122402,0.0012217349000122402,0.0,0.0
49,48,Screenshot_53.png,f_049,2351.0,967.0,3,0.0002166923787469367,0.0002714167156015411,0.0002876462866717956,0.0007757553810202734,0.0004881090943484778,0.44394251460562334,0.27933080974822616
